cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
action_space Discrete(5)
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :231, score : -1.048, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :232, score : -1.056, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :233, score : -1.048, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :234, score : -1.066, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :235, score : -1.277, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :236, score : -1.122, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :237, score : -1.087, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :238, score : -1.506, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :239, score : -1.119, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :240, score : -1.024, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :241, score : -1.325, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :242, score : -1.446, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :243, score : -0.971, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :244, score : -1.308, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :245, score : -1.257, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :246, score : -1.257, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :247, score : -1.369, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :248, score : -1.169, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :249, score : -1.194, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :250, score : -0.873, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :251, score : -1.147, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :252, score : -1.083, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :253, score : -1.222, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :254, score : -1.272, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :255, score : -1.238, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :256, score : -0.716, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :257, score : -1.051, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :258, score : -0.975, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :259, score : -1.033, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :260, score : -0.803, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :261, score : -1.399, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :262, score : -1.122, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :263, score : -1.176, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :264, score : -1.231, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :265, score : -1.158, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :266, score : -0.987, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :267, score : -1.081, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :268, score : -1.245, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :269, score : -1.050, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :270, score : -1.575, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :271, score : -1.164, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :272, score : -1.396, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :273, score : -1.094, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :274, score : -1.066, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :275, score : -1.289, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :276, score : -1.414, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :277, score : -0.962, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :278, score : -1.198, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :279, score : -0.879, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :280, score : -1.496, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :281, score : -1.344, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :282, score : -0.748, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :283, score : -1.156, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
